Cache hit: -75.234375,40.078125,-74.53125,40.78125, Tile: x: 149, y: 185, z: 8, time: 0.000114917755127, debug: True
Cache hit: -74.53125,40.078125,-73.828125,40.78125, Tile: x: 150, y: 185, z: 8, time: 9.29832458496e-05, debug: True
Cache hit: -73.828125,40.078125,-73.125,40.78125, Tile: x: 151, y: 185, z: 8, time: 9.01222229004e-05, debug: True
Cache hit: -73.125,40.078125,-72.421875,40.78125, Tile: x: 152, y: 185, z: 8, time: 8.70227813721e-05, debug: True
Cache hit: -73.125,40.78125,-72.421875,41.484375, Tile: x: 152, y: 186, z: 8, time: 0.000115156173706, debug: True
Cache hit: -73.125,41.484375,-72.421875,42.1875, Tile: x: 152, y: 187, z: 8, time: 0.000114917755127, debug: True
Cache hit: -73.828125,41.484375,-73.125,42.1875, Tile: x: 151, y: 187, z: 8, time: 8.60691070557e-05, debug: True
Cache hit: -74.53125,41.484375,-73.828125,42.1875, Tile: x: 150, y: 187, z: 8, time: 9.29832458496e-05, debug: True
Cache hit: -75.234375,41.484375,-74.53125,42.1875, Tile: x: 149, y: 187, z: 8, time: 8.9168548584e-05, debug: True
Cache hit: -76.640625,41.484375,-75.9375,42.1875, Tile: x: 147, y: 187, z: 8, time: 0.000101089477539, debug: True
Cache miss: -77.34375,40.78125,-76.640625,41.484375, Tile: x: 146, y: 186, z: 8, time: 0.610538959503
Cache miss: -77.34375,39.375,-76.640625,40.078125, Tile: x: 146, y: 184, z: 8, time: 0.602873086929
Cache miss: -77.34375,40.078125,-76.640625,40.78125, Tile: x: 146, y: 185, z: 8, time: 0.605292081833
Cache miss: -77.34375,42.1875,-76.640625,42.890625, Tile: x: 146, y: 188, z: 8, time: 0.61413693428
Cache miss: -77.34375,41.484375,-76.640625,42.1875, Tile: x: 146, y: 187, z: 8, time: 0.721415996552
Cache miss: -78.046875,42.1875,-77.34375,42.890625, Tile: x: 145, y: 188, z: 8, time: 0.693157911301
Cache miss: -78.046875,40.78125,-77.34375,41.484375, Tile: x: 145, y: 186, z: 8, time: 0.231294155121
Cache hit: -77.34375,42.890625,-76.640625,43.59375, Tile: x: 146, y: 189, z: 8, time: 0.0114669799805, debug: True
Cache miss: -78.046875,38.671875,-77.34375,39.375, Tile: x: 145, y: 183, z: 8, time: 0.273060083389
Cache miss: -78.046875,39.375,-77.34375,40.078125, Tile: x: 145, y: 184, z: 8, time: 0.300402879715
Cache hit: -72.421875,41.484375,-71.71875,42.1875, Tile: x: 153, y: 187, z: 8, time: 0.000126838684082, debug: True
Cache miss: -77.34375,38.671875,-76.640625,39.375, Tile: x: 146, y: 183, z: 8, time: 0.209650993347
Cache hit: -72.421875,42.1875,-71.71875,42.890625, Tile: x: 153, y: 188, z: 8, time: 0.000119924545288, debug: True
Cache hit: -73.125,42.1875,-72.421875,42.890625, Tile: x: 152, y: 188, z: 8, time: 0.000102996826172, debug: True
Cache hit: -73.828125,42.1875,-73.125,42.890625, Tile: x: 151, y: 188, z: 8, time: 9.79900360107e-05, debug: True
Cache hit: -74.53125,42.1875,-73.828125,42.890625, Tile: x: 150, y: 188, z: 8, time: 8.98838043213e-05, debug: True
Cache hit: -75.234375,42.1875,-74.53125,42.890625, Tile: x: 149, y: 188, z: 8, time: 8.79764556885e-05, debug: True
Cache miss: -78.046875,41.484375,-77.34375,42.1875, Tile: x: 145, y: 187, z: 8, time: 0.514888048172
Cache miss: -78.046875,40.078125,-77.34375,40.78125, Tile: x: 145, y: 185, z: 8, time: 0.470097064972
Cache hit: -76.640625,42.1875,-75.9375,42.890625, Tile: x: 147, y: 188, z: 8, time: 0.000205039978027, debug: True
Cache hit: -76.640625,38.671875,-75.9375,39.375, Tile: x: 147, y: 183, z: 8, time: 0.000137090682983, debug: True
Cache hit: -75.234375,38.671875,-74.53125,39.375, Tile: x: 149, y: 183, z: 8, time: 0.00018310546875, debug: True
Cache hit: -74.53125,38.671875,-73.828125,39.375, Tile: x: 150, y: 183, z: 8, time: 0.000193119049072, debug: True
Cache hit: -73.828125,38.671875,-73.125,39.375, Tile: x: 151, y: 183, z: 8, time: 8.79764556885e-05, debug: True
Cache hit: -73.125,38.671875,-72.421875,39.375, Tile: x: 152, y: 183, z: 8, time: 0.00010085105896, debug: True
Cache hit: -72.421875,38.671875,-71.71875,39.375, Tile: x: 153, y: 183, z: 8, time: 0.000123023986816, debug: True
Cache hit: -71.71875,38.671875,-71.015625,39.375, Tile: x: 154, y: 183, z: 8, time: 0.000107765197754, debug: True
Cache hit: -71.71875,39.375,-71.015625,40.078125, Tile: x: 154, y: 184, z: 8, time: 0.000104188919067, debug: True
Cache hit: -71.71875,40.078125,-71.015625,40.78125, Tile: x: 154, y: 185, z: 8, time: 8.70227813721e-05, debug: True
Cache hit: -71.71875,40.78125,-71.015625,41.484375, Tile: x: 154, y: 186, z: 8, time: 9.20295715332e-05, debug: True
Cache hit: -76.640625,39.375,-75.9375,40.078125, Tile: x: 147, y: 184, z: 8, time: 0.000100135803223, debug: True
Cache hit: -75.234375,39.375,-74.53125,40.078125, Tile: x: 149, y: 184, z: 8, time: 9.70363616943e-05, debug: True
Cache hit: -74.53125,39.375,-73.828125,40.078125, Tile: x: 150, y: 184, z: 8, time: 9.60826873779e-05, debug: True
